Name,Team,PlayerId,ProcedureSCTID,InjurySCTID,On Date,Off Date,Days,preFB,preERA,postFB,postERA,offseason,reinjury,,,
Wandy Rodriguez,Pirates,2586,183051005,125597008,6/6/2013,4/2/2014,300,89.3,3.38,88.4,6.84,Yes,No,,,
Jon Niese,Mets,4424,183051005,4106009,6/21/2013,8/11/2013,51,90.1,2.51,90.5,3.13,No,Yes (moderate),,<---,This is a good example.
Mike Adams,Phillies,1937,415260000,4106009,6/20/2013,4/17/2014,301,90.3,5.73,89.8,3.27,Yes,Yes (severe),,,
Roy Halladay,Phillies,1303,415260000,202842005,5/6/2013,8/25/2013,111,89.7,8.65,87.0,4.55,No,Yes (severe),,,
Stephen Fife,Dodgers,8077,183051005,239961006,4/27/2013,5/30/2013,33,89.7,7.71,89.4,2.20,No,Yes (moderate),,,
Stephen Fife,Dodgers,8077,183051005,239961006,7/7/2013,8/4/2013,28,89.4,2.20,89.0,7.11,No,Yes (severe),,,
Alexi Ogando,Rangers,10261,183051005,443798008,6/7/2013,7/23/2013,46,93.4,1.59,93.3,4.68,No,Yes (severe),,,
Alexi Ogando,Rangers,10261,183051005,443798008,8/14/2013,9/3/2013,20,93.3,4.68,94.7,1.88,No,Yes (severe),,,
Brandon McCarthy,Diamondbacks,4662,183051005,443798008,5/31/2013,8/4/2013,65,91.5,4.00,90.3,4.84,No,No,,,
Dan Haren,Nationals,1757,183051005,443798008,6/23/2013,7/8/2013,15,88.9,7.85,88.7,2.43,No,No,,,
Henderson Alvarez,Marlins,5669,183051005,443798008,3/31/2013,7/4/2013,95,92.7,4.91,92.6,2.80,No,Yes (minor),,,
Jared Hughes,Pirates,9325,183051005,443798008,6/8/2013,8/2/2013,55,92.0,4.96,91.7,3.48,No,No,,,
Jordan Walden,Braves,3271,183051005,443798008,5/12/2013,5/29/2013,17,94.5,5.40,96.3,0.63,No,No,,,
Nathan Eovaldi,Marlins,9132,183051005,443798008,3/24/2013,6/16/2013,84,94.2,3.75,96.1,4.15,No,No,,,
Robert Coello,Angels,1149,183051005,443798008,6/10/2013,9/16/2013,98,91.1,4.30,89.1,0.00,No,No,,,
Ross Ohlendorf,Nationals,8268,183051005,443798008,8/1/2013,8/20/2013,19,92.9,1.93,92.7,5.13,No,No,,,
Steve Delabar,Blue Jays,11827,183051005,443798008,8/3/2013,9/1/2013,29,93.7,7.59,93.9,5.00,No,No,,,
Dustin McGowan,Blue Jays,8600,183051005,125594001,3/31/2013,6/8/2013,69,92.9,6.43,94.5,1.93,No,No,,,
